CVE_ID,True_Severity,Predicted_Severity
CVE-2024-0001,CRITICAL,MEDIUM
CVE-2024-0002,CRITICAL,MEDIUM
CVE-2024-0003,CRITICAL,MEDIUM
CVE-2024-0004,CRITICAL,CRITICAL
CVE-2024-0005,CRITICAL,CRITICAL
CVE-2024-0007,MEDIUM,MEDIUM
CVE-2024-0009,MEDIUM,MEDIUM
CVE-2024-0056,HIGH,MEDIUM
CVE-2024-0074,HIGH,MEDIUM
CVE-2024-0075,MEDIUM,MEDIUM
CVE-2024-0086,MEDIUM,MEDIUM
CVE-2024-0092,MEDIUM,MEDIUM
CVE-2024-0093,MEDIUM,MEDIUM
CVE-2024-0103,MEDIUM,MEDIUM
CVE-2024-0109,LOW,LOW
CVE-2024-0110,MEDIUM,MEDIUM
CVE-2024-0111,MEDIUM,MEDIUM
CVE-2024-0116,MEDIUM,MEDIUM
CVE-2024-0122,HIGH,MEDIUM
CVE-2024-0123,LOW,LOW
CVE-2024-0129,MEDIUM,LOW
CVE-2024-0131,MEDIUM,MEDIUM
CVE-2024-0133,MEDIUM,MEDIUM
CVE-2024-0134,MEDIUM,MEDIUM
CVE-2024-0137,MEDIUM,MEDIUM
CVE-2024-0139,MEDIUM,MEDIUM
CVE-2024-0142,MEDIUM,LOW
CVE-2024-0143,MEDIUM,LOW
CVE-2024-0144,MEDIUM,LOW
CVE-2024-0145,MEDIUM,LOW
